Product Name,Price (₹),Rating (★),Number of Buyers,Total Sold,Available Stock,Main Category,Sub Category,Discount (%),Seller,Return Policy,Product URL
Krishnamurthy-Devan Laboriosam Ultra Smartphones 10,142247.04,3.2,7348,4812,364,Electronics,Smartphones,45,RetailNet,FALSE,https://www.flipkart.com/Krishnamurthy-Devan-Laboriosam-Ultra-Smartphones-10-5133
Nanda-Mahal Dignissimos Lite Laptops 1,186922.43,4.1,2342,881,145,Electronics,Laptops,55,Flipkart Assured,FALSE,https://www.flipkart.com/Nanda-Mahal-Dignissimos-Lite-Laptops-1-2413
Choudhury LLC Amet Plus Decor 15,11843.41,5,739,2580,206,Home,Decor,58,SuperComNet,TRUE,https://www.flipkart.com/Choudhury-LLC-Amet-Plus-Decor-15-2500
Borah LLC Accusantium Lite Smartphones 9,10864.31,4.8,1543,4562,1585,Electronics,Smartphones,0,ElectroWorld,FALSE,https://www.flipkart.com/Borah-LLC-Accusantium-Lite-Smartphones-9-2737
Murty Inc Placeat Pro Smartwatches 8,32950.41,4.5,7702,4925,1064,Electronics,Smartwatches,18,MobileHub,FALSE,https://www.flipkart.com/Murty-Inc-Placeat-Pro-Smartwatches-8-8233
Verma-Pillai Ipsa Pro Refrigerators 15,26497.18,4.4,7892,6175,1526,Appliances,Refrigerators,0,HomeCare Solutions,FALSE,https://www.flipkart.com/Verma-Pillai-Ipsa-Pro-Refrigerators-15-6587
Patla-Guha Exercitationem Ultra ACs 5,6837.73,3.8,6518,4984,2324,Appliances,ACs,0,SuperComNet,TRUE,https://www.flipkart.com/Patla-Guha-Exercitationem-Ultra-ACs-5-8369
Aggarwal Group Dignissimos Lite ACs 6,40548.35,3.1,5593,8899,2291,Appliances,ACs,52,ElectroWorld,FALSE,https://www.flipkart.com/Aggarwal-Group-Dignissimos-Lite-ACs-6-3764
Krishna-Tandon Quo Ultra Lighting 12,38045.07,4.9,2140,3857,233,Home,Lighting,32,Flipkart Assured,FALSE,https://www.flipkart.com/Krishna-Tandon-Quo-Ultra-Lighting-12-7975
Cheema and Sons Distinctio Pro Decor 1,9370.93,3.8,5554,127,23,Home,Decor,0,Cloudtail India,FALSE,https://www.flipkart.com/Cheema-and-Sons-Distinctio-Pro-Decor-1-2533
"Bassi, Bail and Purohit A Lite ACs 15",46222.19,4.6,8211,8465,765,Appliances,ACs,37,MobileHub,FALSE,"https://www.flipkart.com/Bassi,-Bail-and-Purohit-A-Lite-ACs-15-9783"
Hans-Naik Quis Ultra Smartphones 2,106831.63,4.5,2857,5770,2578,Electronics,Smartphones,40,Flipkart Assured,FALSE,https://www.flipkart.com/Hans-Naik-Quis-Ultra-Smartphones-2-2343
Sura LLC Aperiam Plus Kitchenware 2,6793.37,3.3,1712,2927,1037,Home,Kitchenware,45,HomeCare Solutions,FALSE,https://www.flipkart.com/Sura-LLC-Aperiam-Plus-Kitchenware-2-5605
"Swaminathan, Kadakia and Narula Alias Plus Kitchenware 2",49169.05,3.7,8188,3672,796,Home,Kitchenware,0,FashionPlus,FALSE,"https://www.flipkart.com/Swaminathan,-Kadakia-and-Narula-Alias-Plus-Kitchenware-2-4866"
Mand-Ramesh Dolorem Pro Furniture 14,28084.84,3.9,1364,5789,512,Home,Furniture,59,Flipkart Assured,TRUE,https://www.flipkart.com/Mand-Ramesh-Dolorem-Pro-Furniture-14-9378
"Suri, Chander and Acharya Dignissimos Plus Smartphones 5",5902.61,3.5,2339,7999,306,Electronics,Smartphones,15,Cloudtail India,TRUE,"https://www.flipkart.com/Suri,-Chander-and-Acharya-Dignissimos-Plus-Smartphones-5-4728"
"Bansal, Karpe and Goel Ex Plus Microwaves 11",37137.18,4.6,5049,3214,153,Appliances,Microwaves,30,HomeCare Solutions,TRUE,"https://www.flipkart.com/Bansal,-Karpe-and-Goel-Ex-Plus-Microwaves-11-6568"
"Mutti, Khosla and Balan Repellat Lite Shoes 8",26715.52,4,323,9154,3285,Fashion,Shoes,33,ElectroWorld,FALSE,"https://www.flipkart.com/Mutti,-Khosla-and-Balan-Repellat-Lite-Shoes-8-3822"
Bath PLC Fuga Lite Shoes 13,7918.38,4.5,9290,1005,393,Fashion,Shoes,0,RetailNet,FALSE,https://www.flipkart.com/Bath-PLC-Fuga-Lite-Shoes-13-1356
Parikh Group Nemo Ultra Lighting 4,19701.1,4.8,7491,8608,2998,Home,Lighting,5,Cloudtail India,FALSE,https://www.flipkart.com/Parikh-Group-Nemo-Ultra-Lighting-4-7939
Sama-Chaudry Nulla Plus T-Shirts 2,1838.69,3.6,8331,5868,2458,Fashion,T-Shirts,0,HomeCare Solutions,FALSE,https://www.flipkart.com/Sama-Chaudry-Nulla-Plus-T-Shirts-2-7806
Sathe-Thakkar Velit Ultra Kitchenware 14,12927.45,3.4,9266,1828,55,Home,Kitchenware,30,ElectroWorld,FALSE,https://www.flipkart.com/Sathe-Thakkar-Velit-Ultra-Kitchenware-14-2424
"Mittal, Taneja and Bajwa Placeat Plus Lighting 3",12972.39,4.7,9793,3856,453,Home,Lighting,48,HomeCare Solutions,TRUE,"https://www.flipkart.com/Mittal,-Taneja-and-Bajwa-Placeat-Plus-Lighting-3-3897"
"Dara, Oommen and Golla Neque Lite Decor 4",16326.21,4.6,1942,4485,1382,Home,Decor,70,ElectroWorld,TRUE,"https://www.flipkart.com/Dara,-Oommen-and-Golla-Neque-Lite-Decor-4-9285"
Sandhu Ltd Et Ultra Jeans 1,23603.85,4.5,2221,3262,47,Fashion,Jeans,14,ElectroWorld,FALSE,https://www.flipkart.com/Sandhu-Ltd-Et-Ultra-Jeans-1-5095
Pathak-Balay Tempore Plus Shoes 4,8453.52,4.3,7848,850,61,Fashion,Shoes,70,HomeCare Solutions,TRUE,https://www.flipkart.com/Pathak-Balay-Tempore-Plus-Shoes-4-7542
"Bedi, Gupta and Mukherjee Animi Lite Lighting 2",30491.38,4.9,5974,511,218,Home,Lighting,0,Flipkart Assured,FALSE,"https://www.flipkart.com/Bedi,-Gupta-and-Mukherjee-Animi-Lite-Lighting-2-1883"
"Dua, Badami and Korpal Repellendus Ultra ACs 12",19737.36,4.6,349,52,25,Appliances,ACs,49,RetailNet,TRUE,"https://www.flipkart.com/Dua,-Badami-and-Korpal-Repellendus-Ultra-ACs-12-6351"
"Varma, Yohannan and Thakkar Autem Lite Microwaves 13",4557.63,4.6,4589,1327,245,Appliances,Microwaves,24,SuperComNet,TRUE,"https://www.flipkart.com/Varma,-Yohannan-and-Thakkar-Autem-Lite-Microwaves-13-8555"
Gopal and Sons Atque Pro Kitchenware 5,20669.42,3.8,7107,9524,2565,Home,Kitchenware,43,MobileHub,FALSE,https://www.flipkart.com/Gopal-and-Sons-Atque-Pro-Kitchenware-5-6511
"Mahal, Sahota and Dutt Similique Lite Lighting 14",30804.73,4,2479,1843,722,Home,Lighting,5,HomeCare Solutions,TRUE,"https://www.flipkart.com/Mahal,-Sahota-and-Dutt-Similique-Lite-Lighting-14-5791"
"Nanda, Choudhary and Reddy Accusantium Pro Kitchenware 11",3430.15,3.8,7513,5329,1844,Home,Kitchenware,68,SuperComNet,FALSE,"https://www.flipkart.com/Nanda,-Choudhary-and-Reddy-Accusantium-Pro-Kitchenware-11-4570"
Raj-Mukhopadhyay Amet Pro Smartphones 6,128170.95,4.4,1610,3341,930,Electronics,Smartphones,24,MobileHub,TRUE,https://www.flipkart.com/Raj-Mukhopadhyay-Amet-Pro-Smartphones-6-9097
Chander-Brahmbhatt Numquam Pro Headphones 7,30211.46,3,8083,7968,3601,Electronics,Headphones,0,FashionPlus,TRUE,https://www.flipkart.com/Chander-Brahmbhatt-Numquam-Pro-Headphones-7-5816
Jaggi Ltd Dolor Pro Refrigerators 3,21313.74,3.2,317,9609,1542,Appliances,Refrigerators,40,HomeCare Solutions,TRUE,https://www.flipkart.com/Jaggi-Ltd-Dolor-Pro-Refrigerators-3-1259
Karan Inc Numquam Plus Microwaves 3,14143.21,3.9,4585,8076,1805,Appliances,Microwaves,45,FashionPlus,TRUE,https://www.flipkart.com/Karan-Inc-Numquam-Plus-Microwaves-3-7151
"Toor, Rastogi and Edwin Voluptatibus Pro ACs 3",35055.07,3,1947,1720,396,Appliances,ACs,37,Flipkart Assured,FALSE,"https://www.flipkart.com/Toor,-Rastogi-and-Edwin-Voluptatibus-Pro-ACs-3-2945"
Malhotra and Sons Aspernatur Plus Shoes 14,27302.79,4.3,1745,7299,2490,Fashion,Shoes,27,HomeCare Solutions,FALSE,https://www.flipkart.com/Malhotra-and-Sons-Aspernatur-Plus-Shoes-14-3362
Sachdeva-Varma Optio Ultra ACs 12,22152.62,3.5,7693,189,17,Appliances,ACs,56,Cloudtail India,FALSE,https://www.flipkart.com/Sachdeva-Varma-Optio-Ultra-ACs-12-9601
"Guha, Ben and Kapoor Ducimus Plus Decor 10",30807.75,4.1,3166,1808,756,Home,Decor,0,HomeCare Solutions,TRUE,"https://www.flipkart.com/Guha,-Ben-and-Kapoor-Ducimus-Plus-Decor-10-3237"
"Reddy, Dhillon and Ganesan Soluta Lite Smartwatches 4",37323.65,4.1,6708,6336,2929,Electronics,Smartwatches,27,Flipkart Assured,TRUE,"https://www.flipkart.com/Reddy,-Dhillon-and-Ganesan-Soluta-Lite-Smartwatches-4-6372"
Patla-Swamy Quos Plus Decor 13,18322.12,5,9373,5651,2163,Home,Decor,52,SuperComNet,TRUE,https://www.flipkart.com/Patla-Swamy-Quos-Plus-Decor-13-2759
Dara Inc Quasi Plus Lighting 8,20470.5,4.2,2770,8068,1087,Home,Lighting,27,RetailNet,TRUE,https://www.flipkart.com/Dara-Inc-Quasi-Plus-Lighting-8-5770
Deep-Sawhney Aut Ultra Microwaves 5,21298.01,4.1,5761,1213,481,Appliances,Microwaves,47,Cloudtail India,FALSE,https://www.flipkart.com/Deep-Sawhney-Aut-Ultra-Microwaves-5-8996
Dhar LLC Quidem Pro Decor 3,17317.63,4.7,6148,7796,1174,Home,Decor,24,Cloudtail India,FALSE,https://www.flipkart.com/Dhar-LLC-Quidem-Pro-Decor-3-3840
"Yohannan, Ramachandran and Choudhary Id Pro Furniture 8",23344.16,3.7,3162,2935,480,Home,Furniture,21,MobileHub,TRUE,"https://www.flipkart.com/Yohannan,-Ramachandran-and-Choudhary-Id-Pro-Furniture-8-4082"
Andra LLC Veritatis Lite Headphones 8,28385.37,3.6,71,520,128,Electronics,Headphones,21,RetailNet,FALSE,https://www.flipkart.com/Andra-LLC-Veritatis-Lite-Headphones-8-5369
Nagarajan Inc Doloremque Ultra Refrigerators 5,56609.8,3.3,8767,9378,702,Appliances,Refrigerators,18,FashionPlus,TRUE,https://www.flipkart.com/Nagarajan-Inc-Doloremque-Ultra-Refrigerators-5-8624
"Sharma, Sachdev and Bali Ducimus Pro T-Shirts 4",893.25,4.9,3934,9342,839,Fashion,T-Shirts,10,Cloudtail India,TRUE,"https://www.flipkart.com/Sharma,-Sachdev-and-Bali-Ducimus-Pro-T-Shirts-4-4054"
Lad Ltd Alias Ultra Refrigerators 5,39431.99,3.3,5016,4858,2339,Appliances,Refrigerators,53,ElectroWorld,TRUE,https://www.flipkart.com/Lad-Ltd-Alias-Ultra-Refrigerators-5-8372
Sathe-Sodhi Porro Lite Laptops 7,111558.78,3.3,2847,8247,781,Electronics,Laptops,0,SuperComNet,TRUE,https://www.flipkart.com/Sathe-Sodhi-Porro-Lite-Laptops-7-1456
"Sami, Bhagat and Chaudhary Consequatur Lite Decor 14",47360.43,4.6,3735,4838,1071,Home,Decor,0,RetailNet,TRUE,"https://www.flipkart.com/Sami,-Bhagat-and-Chaudhary-Consequatur-Lite-Decor-14-2744"
"Gupta, Kalita and Loke Doloremque Lite Dresses 15",4035.53,4.8,6046,9404,173,Fashion,Dresses,42,MobileHub,TRUE,"https://www.flipkart.com/Gupta,-Kalita-and-Loke-Doloremque-Lite-Dresses-15-5399"
Sani Inc Dolores Ultra Decor 14,8239.3,4.3,2538,4000,1323,Home,Decor,8,FashionPlus,FALSE,https://www.flipkart.com/Sani-Inc-Dolores-Ultra-Decor-14-8885
Chawla-Krish Reprehenderit Ultra Smartwatches 3,3176.94,3.3,3856,1258,558,Electronics,Smartwatches,42,HomeCare Solutions,FALSE,https://www.flipkart.com/Chawla-Krish-Reprehenderit-Ultra-Smartwatches-3-4956
Tandon-Ramaswamy Numquam Pro T-Shirts 1,1093.56,4.2,5902,480,140,Fashion,T-Shirts,40,RetailNet,FALSE,https://www.flipkart.com/Tandon-Ramaswamy-Numquam-Pro-T-Shirts-1-6994
Swaminathan-Nagarajan Aspernatur Lite Shoes 1,25499.88,3.9,5115,6609,2919,Fashion,Shoes,19,Cloudtail India,TRUE,https://www.flipkart.com/Swaminathan-Nagarajan-Aspernatur-Lite-Shoes-1-6293
Deshpande LLC Unde Pro Jeans 12,9848.75,3.5,114,847,367,Fashion,Jeans,46,Flipkart Assured,TRUE,https://www.flipkart.com/Deshpande-LLC-Unde-Pro-Jeans-12-1018
Raja Group Quos Ultra Decor 12,39801.51,4.1,2385,7795,2510,Home,Decor,55,ElectroWorld,TRUE,https://www.flipkart.com/Raja-Group-Quos-Ultra-Decor-12-5825
Arya Group Officiis Lite Lighting 6,43575.46,3.3,9505,5894,983,Home,Lighting,10,RetailNet,FALSE,https://www.flipkart.com/Arya-Group-Officiis-Lite-Lighting-6-7036
Garg-Dayal Fugit Pro Jeans 12,19115.44,4.7,7337,7207,2863,Fashion,Jeans,25,HomeCare Solutions,FALSE,https://www.flipkart.com/Garg-Dayal-Fugit-Pro-Jeans-12-4994
Bhattacharyya Group Blanditiis Lite Laptops 1,229133.15,3.7,1117,7680,3432,Electronics,Laptops,0,ElectroWorld,TRUE,https://www.flipkart.com/Bhattacharyya-Group-Blanditiis-Lite-Laptops-1-1057
Khurana-Ram Placeat Lite Headphones 3,25892.56,4.2,59,5010,1946,Electronics,Headphones,17,RetailNet,FALSE,https://www.flipkart.com/Khurana-Ram-Placeat-Lite-Headphones-3-5687
Karan Group Aliquid Ultra Furniture 12,43491.73,4,5097,8020,1546,Home,Furniture,0,ElectroWorld,FALSE,https://www.flipkart.com/Karan-Group-Aliquid-Ultra-Furniture-12-8981
Yadav LLC At Plus T-Shirts 13,698.28,4.4,588,3165,227,Fashion,T-Shirts,51,ElectroWorld,FALSE,https://www.flipkart.com/Yadav-LLC-At-Plus-T-Shirts-13-6054
Ramanathan-Agarwal Maxime Plus Kitchenware 11,25482.59,4.2,2026,6931,1457,Home,Kitchenware,16,MobileHub,TRUE,https://www.flipkart.com/Ramanathan-Agarwal-Maxime-Plus-Kitchenware-11-6508
